1;4001;Salonpas Hijau 12 x 1 lembar;16;3;SCH;ALK;6363;10000;01/30/25;ket
2;4002;Leucoplast 2,5 x 4,5;4;3;PCS;ALK;15000;20000;01/30/25;ket
3;4003;Termometer Onemed;3;3;UNT;ALK;20000;30000;01/30/25;ket
4;4004;Sutra Merah 12's;28;1;BOX;PKRT;17693;20000;01/30/25;ket
5;4005;Viva Face Tonic Lemon 100ml;3;1;BTL;KMTK;5017;6000;01/30/25;ket
6;4006;Curcuma DHA Sharpy 60 ml (biru);4;2;BTL;OTC2;12500;17500;01/30/25;ket
7;4007;Proris Syrup 60 ml;5;2;BTL;OTC2;24000;30000;01/30/25;ket
8;4008;Proris Syrup Forte 50 ml;7;2;BTL;OTC2;29700;35000;01/30/25;ket
9;4009;Hufagrip Batuk Pilek (BP-Hijau);0;2;BTL;OTC2;16288;21000;01/30/25;ket
10;4010;Hufagrip Flu dan Batuk (kuning);0;2;BTL;OTC2;17419;21000;01/30/25;ket
11;4011;Curcuma Emulsion 200 ml blackcurrant;2;2;BTL;OTC2;26700;30000;01/30/25;ket
12;4012;Curcuma Emulsion 200 ml Jeruk;1;2;BTL;OTC2;23392;30000;01/30/25;ket
13;4013;Curcuma Emulsion 200 ml Strawberry;2;2;BTL;OTC2;23392;30000;01/30/25;ket
14;4014;Scott's Emulsion Vita Jeruk 200 ml;4;2;BTL;OTC2;37500;45000;01/30/25;ket
15;4015;Scott's Emulsion Vita Jeruk 400 ml;2;2;BTL;OTC2;64004;73000;01/30/25;ket
16;4016;CDR EFF 10's;8;3;TUB;OTC1;40000;45000;01/30/25;ket
17;4017;Redoxon triple action 10's;4;2;TUB;OTC1;40000;42000;01/30/25;ket
18;4018;Peditox;3;2;BTL;OTC2;7623;10000;01/30/25;ket
19;4019;Herocyn 150 g;3;2;BTL;OTC2;15000;18000;01/30/25;ket
20;4020;Betadine mouthwash and gargle 190 ml;5;2;BTL;OTC2;29700;38000;01/30/25;ket
21;4021;Bedak Salicyl Kimia Farma;3;2;PCS;OTC1;6000;8000;01/30/25;ket
22;4022;Minyak Tawon FF;6;2;BTL;OTC3;57500;65000;01/30/25;ket
23;4023;Minyak Tawon EE;5;2;BTL;OTC3;40000;45000;01/30/25;ket
24;4024;Alofar 100;550;30;TAB;ETC1;272;500;01/30/25;ket
25;4025;Mulsanol Sirup 60 ml;-5;0;BTL;OTC2;6600;15000;01/30/25;ket
26;4026;Dexteem Plus;320;30;TAB;ETC1;236;400;01/30/25;ket
27;4027;Lerzin Kapsul;96;30;KAPS;ETC1;568;1000;01/30/25;ket
28;4028;Synalten Cream;8;3;TUB;ETC3;4774;14000;01/30/25;ket
29;4029;Sanmol Tablet;17;3;STRIP;OTC1;1200;2000;01/30/25;ket
30;4030;Mylanta Cair 50 ml;9;3;BTL;OTC2;12485;15000;01/30/25;ket
31;4031;Yusimox Tablet;240;30;TAB;ETC1;589;1100;01/30/25;ket
32;4032;Vitacimin Sweet Orange;0;3;STRIP;OTC1;2000;3500;01/30/25;ket
33;4033;Minyak Tawon DD;4;3;BTL;OTC3;25000;28000;01/30/25;ket
34;4034;Termorex Plus 60ml;12;3;BTL;OTC2;12615;18000;01/30/25;ket
35;4035;Rohto Eye Flush 150ml;4;2;BTL;OTC3;29106;38000;01/30/25;ket
36;4036;Woods AntiTussive ( merah ) 60 ml;4;3;BTL;OTC2;17500;22000;01/30/25;ket
37;4037;Ternix Plus;11;3;BTL;OTC2;6064;18000;01/30/25;ket
